Profile,SPIN_Item,Mean,SD,SPIN_Item_Number
1,SPIN1,0.5543345543345544,0.7646947649458505,1
1,SPIN2,0.9645909645909646,1.0524004102237152,2
1,SPIN3,0.7252747252747253,0.8385477704395037,3
1,SPIN4,2.214896214896215,1.1702183913045947,4
1,SPIN5,0.7582417582417582,0.9914869104328816,5
1,SPIN6,0.8742368742368742,1.0157960240146195,6
1,SPIN7,0.6593406593406593,0.9938417002368325,7
1,SPIN8,3.3162393162393164,0.6932207679536658,8
1,SPIN9,1.8583638583638584,1.3852039506168956,9
1,SPIN10,0.5177045177045178,0.797684059508366,10
1,SPIN11,1.9474969474969475,1.5275555239198844,11
1,SPIN12,0.5372405372405372,0.8870255807734129,12
1,SPIN13,0.13553113553113552,0.3460500902802061,13
1,SPIN14,0.8681318681318682,0.9445236841522296,14
1,SPIN15,0.7216117216117216,0.8424317697644134,15
1,SPIN16,0.2905982905982906,0.5690011911650068,16
1,SPIN17,0.6568986568986569,0.9793644230270484,17
2,SPIN1,0.9542639352072415,0.8791649717541814,1
2,SPIN2,1.5064316341114816,1.2062482652727604,2
2,SPIN3,1.4392567889471177,1.2011682509570127,3
2,SPIN4,2.044783230109576,1.1724088880370145,4
2,SPIN5,1.8156264888041924,1.2688328579202413,5
2,SPIN6,1.9452120057170081,1.3053200851217446,6
2,SPIN7,1.4125774178180086,1.3093321921514058,7
2,SPIN8,1.625059552167699,1.3507618631152238,8
2,SPIN9,1.92282039066222,1.3807019572661265,9
2,SPIN10,1.2062887089090042,1.1853243431228515,10
2,SPIN11,2.1881848499285375,1.5019318643680586,11
2,SPIN12,1.2553596950929014,1.2574140856376108,12
2,SPIN13,0.25202477370176274,0.4342788718855003,13
2,SPIN14,1.818961410195331,1.1731028608573422,14
2,SPIN15,3.131014768937589,0.6509401203617353,15
2,SPIN16,0.5531205335874226,0.6858320604287995,16
2,SPIN17,1.1524535493091947,1.243709599268346,17
3,SPIN1,1.6251874062968517,1.1444452946269268,1
3,SPIN2,1.5727136431784108,1.2575438357996624,2
3,SPIN3,1.7316341829085458,1.349542531065286,3
3,SPIN4,2.47376311844078,1.2070182993783087,4
3,SPIN5,1.671664167916042,1.36069584122711,5
3,SPIN6,2.113943028485757,1.3261859839466863,6
3,SPIN7,1.3013493253373314,1.3369482447050127,7
3,SPIN8,2.1679160419790104,1.4105955780564317,8
3,SPIN9,2.4632683658170915,1.3622153806160628,9
3,SPIN10,1.578710644677661,1.3560108045416408,10
3,SPIN11,2.586206896551724,1.3980859413755242,11
3,SPIN12,1.3403298350824588,1.3286771896245722,12
3,SPIN13,0.4272863568215892,0.6092670094035276,13
3,SPIN14,2.025487256371814,1.2702218461753128,14
3,SPIN15,2.1529235382308847,1.2713059889610536,15
3,SPIN16,2.9085457271364317,0.7243318235612786,16
3,SPIN17,1.5577211394302848,1.3426072390674413,17
5,SPIN1,0.6849201981287837,0.7804607155661505,1
5,SPIN2,0.9424876169510181,0.9801918623171358,2
5,SPIN3,0.7601816180517337,0.9424762771516088,3
5,SPIN4,1.2601816180517336,1.0672319227413256,4
5,SPIN5,0.8694276279581729,0.9635640074148398,5
5,SPIN6,0.8943313153549808,1.0052050070122798,6
5,SPIN7,0.7124380847550909,0.9716637264477683,7
5,SPIN8,0.8481012658227848,1.0386969717529326,8
5,SPIN9,1.1092460099064392,1.186552482391032,9
5,SPIN10,0.5748486516235554,0.8331479175557144,10
5,SPIN11,1.4225371491469456,1.3655710984027387,11
5,SPIN12,0.5182993946064942,0.8206907196144153,12
5,SPIN13,0.16152999449642266,0.3680444168629411,13
5,SPIN14,0.7383048981838195,0.8499877298060955,14
5,SPIN15,0.6408915795266924,0.7243363430228238,15
5,SPIN16,0.27655476059438633,0.5275047950696026,16
5,SPIN17,0.5488442487616951,0.8579965119648056,17
6,SPIN1,1.2763018065887355,1.036885662436525,1
6,SPIN2,1.9006376195536663,1.243894014977921,2
6,SPIN3,1.948990435706695,1.310227036307386,3
6,SPIN4,2.402763018065887,1.2062008917827978,4
6,SPIN5,2.1301806588735386,1.317914382380539,5
6,SPIN6,2.349096705632306,1.2997450910266342,6
6,SPIN7,2.0154091392136024,1.347325532240094,7
6,SPIN8,2.1907545164718383,1.3965323365506759,8
6,SPIN9,2.4782146652497343,1.3487164436363395,9
6,SPIN10,1.844845908607864,1.3282788976884294,10
6,SPIN11,2.6615302869287993,1.3771498186299471,11
6,SPIN12,1.9011689691817215,1.3647840591291565,12
6,SPIN13,2.48990435706695,0.7107843167336713,13
6,SPIN14,2.4729011689691816,1.1791016412021968,14
6,SPIN15,2.4920297555791713,1.3322125365727653,15
6,SPIN16,1.3384697130712009,1.1899353742908254,16
6,SPIN17,2.1036131774707756,1.2905404475155684,17
